2024-02-29T02:54:46.052935300 |ashish1 |create table student (id bigint, name varchar(200), email varchar(300), gpa decimal);
2024-02-29T02:54:53.227913 |ashish1 |select * from student;
2024-02-29T03:01:45.425991 |ashish1 |insert into student (id, name, email, gpa) value (1, ashish, a_b@c.com, 2.3);
2024-02-29T03:02:19.407454900 |ashish1 |insert into student (id, name, email, gpa) value (2, dummyuser, d_u@c.com, 1.3);
2024-02-29T03:16:21.045772700 |ashish1 |select * from student;
2024-02-29T03:33:57.529600700 |ashish1 |select * from student;
2024-02-29T03:34:05.174381300 |ashish1 |select name, gpa from student;
2024-02-29T03:56:26.967794100 |ashish1 |select * from student;
2024-02-29T04:08:07.067252 |ashish1 |select * from student;
2024-02-29T04:08:12.250319500 |ashish1 |begin transaction;
2024-02-29T04:08:43.999427300 |ashish1 |insert into student (id, name, email, gpa) value (3, test, tw@c.com, 3.8);
2024-02-29T04:08:53.422168 |ashish1 |select * from student;
2024-02-29T04:09:01.294590200 |ashish1 |rollback transaction;
2024-02-29T04:09:07.091138700 |ashish1 |select * from student;
2024-02-29T11:54:03.383142500 |ashish1 |create table faculty (id bigint, name varchar(200), course_taught varchar(200), experience int);
2024-02-29T11:54:49.010704300 |ashish1 |insert into faculty (id, name, course_taught, experience) value (1, mike, CSCI 3901, 22);
2024-02-29T11:55:45.688455200 |ashish1 |insert into faculty (id, name, course_taught, experience) value (2, saurabh, CSCI 5408, 15);
2024-02-29T11:55:53.398212600 |ashish1 |select * from faculty;
2024-02-29T14:49:21.838212100 |ashish2 |select * from student;
2024-02-29T14:49:26.719572800 |ashish2 |begin transaction;
2024-02-29T14:49:58.876069400 |ashish2 |insert into student (id, name, email, gpa) value (3, peter, pb@c.com, 2.2);
2024-02-29T14:50:03.938436500 |ashish2 |commit transaction;
2024-02-29T14:50:08.246978900 |ashish2 |select * from student;
2024-02-29T16:47:28.159424100 |ashish1 |begin transaction;
2024-02-29T16:49:22.856085100 |ashish1 |insert into faculty (id, name, course_taught, experience) value(3, tushar, csci5309, 17);
2024-02-29T16:49:32.351334700 |ashish1 |select * from faculty;
2024-02-29T16:57:46.813579600 |ashish2 |select * from faculty;
2024-02-29T16:58:20.384644800 |ashish2 |begin transaction;
2024-02-29T16:59:11.833723200 |ashish2 |insert into faculty (id, name, course_taught, experience) value (4, andrew, csci 5100, 30);
2024-02-29T16:59:18.748477 |ashish2 |select * from faculty;
2024-02-29T17:02:32.621188100 |ashish1 |select * from faculty;
2024-02-29T17:02:44.230943400 |ashish1 |commit transaction;
2024-02-29T17:02:52.418236300 |ashish2 |select * from faculty;
2024-02-29T17:04:02.926833100 |ashish2 |rollback transaction;
2024-02-29T17:04:08.139332 |ashish2 |select * from faculty;
